pdb,n_ligands,median_publication_year,pct_publication_le_2018,pct_publication_ge_2019
1G5M,244,2016.0,83.19672131147541,16.80327868852459
2Z5X,213,2016.0,69.01408450704226,30.985915492957744
3EYG,2234,2018.0,78.11101163831692,21.88898836168308
3JY9,2014,2018.0,67.27904667328698,32.72095332671301
3LXK,758,2018.0,59.76253298153035,40.23746701846966
3MJG,275,2020.0,9.090909090909092,43.27272727272727
4ASE,851,2017.0,28.319623971797885,15.981198589894241
4F65,133,2021.0,3.007518796992481,96.99248120300751
4TZ4,113,2023.0,1.7699115044247788,98.23008849557522
4ZAU,235,2016.0,53.61702127659574,2.9787234042553195
5JKV,488,2013.0,96.51639344262296,3.483606557377049
5MO4,682,2014.0,98.53372434017595,1.466275659824047
6GQJ,1089,2019.0,25.895316804407713,62.25895316804407
6JOK,250,2021.0,0.0,47.199999999999996
7AWE,83,2015.0,81.92771084337349,18.072289156626507
7KK3,1049,2016.0,98.95138226882746,1.0486177311725453
