pdb,target,deposition_year,dynamicbind_structure_era,pdbbind_v2020_likelihood,boltz2_structure_pool
1G5M,BCL-2,2001,Training-era (<2019 deposition),High (frequent PDBbind/CrossDocked kinase/oncoprotein entry),Included (deposited before 2023-06-01 cutoff)
2Z5X,MAO-A,2008,Training-era (<2019 deposition),Moderate (target class represented in PDBbind v2020),Included (deposited before 2023-06-01 cutoff)
3EYG,JAK1,2009,Training-era (<2019 deposition),High (frequent PDBbind/CrossDocked kinase/oncoprotein entry),Included (deposited before 2023-06-01 cutoff)
3JY9,JAK2,2009,Training-era (<2019 deposition),High (frequent PDBbind/CrossDocked kinase/oncoprotein entry),Included (deposited before 2023-06-01 cutoff)
3LXK,JAK3,2010,Training-era (<2019 deposition),High (frequent PDBbind/CrossDocked kinase/oncoprotein entry),Included (deposited before 2023-06-01 cutoff)
3MJG,PDGFR,2010,Training-era (<2019 deposition),High (frequent PDBbind/CrossDocked kinase/oncoprotein entry),Included (deposited before 2023-06-01 cutoff)
4ASE,VEGFR2,2012,Training-era (<2019 deposition),High (frequent PDBbind/CrossDocked kinase/oncoprotein entry),Included (deposited before 2023-06-01 cutoff)
4F65,FGFR1,2012,Training-era (<2019 deposition),High (frequent PDBbind/CrossDocked kinase/oncoprotein entry),Included (deposited before 2023-06-01 cutoff)
4TZ4,CRBN,2014,Training-era (<2019 deposition),High (frequent PDBbind/CrossDocked kinase/oncoprotein entry),Included (deposited before 2023-06-01 cutoff)
4ZAU,EGFR,2015,Training-era (<2019 deposition),High (frequent PDBbind/CrossDocked kinase/oncoprotein entry),Included (deposited before 2023-06-01 cutoff)
5JKV,CYP19A1,2017,Training-era (<2019 deposition),Moderate (target class represented in PDBbind v2020),Included (deposited before 2023-06-01 cutoff)
5MO4,ABL1,2017,Training-era (<2019 deposition),High (frequent PDBbind/CrossDocked kinase/oncoprotein entry),Included (deposited before 2023-06-01 cutoff)
6GQJ,c-KIT,2018,Training-era (<2019 deposition),High (frequent PDBbind/CrossDocked kinase/oncoprotein entry),Included (deposited before 2023-06-01 cutoff)
6JOK,PDGFRA,2020,Holdout-like (2019+ deposition),Borderline (2020 deposition; outside DynamicBind train split),Included (deposited before 2023-06-01 cutoff)
7AWE,Immunoproteasome,2021,Holdout-like (2019+ deposition),Unlikely (deposited after PDBbind v2020 compilation),Included (deposited before 2023-06-01 cutoff)
7KK3,PARP1,2021,Holdout-like (2019+ deposition),Unlikely (deposited after PDBbind v2020 compilation),Included (deposited before 2023-06-01 cutoff)
