n_tests_passed,pct_ligands,method_id,method_label
1,100.0,gnina,GNINA 1.3
2,100.0,gnina,GNINA 1.3
3,100.0,gnina,GNINA 1.3
4,100.0,gnina,GNINA 1.3
5,97.62518203203764,gnina,GNINA 1.3
6,97.62518203203764,gnina,GNINA 1.3
7,97.60277808894365,gnina,GNINA 1.3
8,97.60277808894365,gnina,GNINA 1.3
9,97.59157611739666,gnina,GNINA 1.3
10,97.21070908479892,gnina,GNINA 1.3
11,94.39901422650387,gnina,GNINA 1.3
12,61.633247451551476,gnina,GNINA 1.3
13,21.61980508569508,gnina,GNINA 1.3
14,20.947686792875547,gnina,GNINA 1.3
15,20.387588215525934,gnina,GNINA 1.3
16,19.34580486165565,gnina,GNINA 1.3
17,17.004592808334266,gnina,GNINA 1.3
18,12.165341100033606,gnina,GNINA 1.3
19,8.031813599193457,gnina,GNINA 1.3
20,3.920690041447295,gnina,GNINA 1.3
