target,method_id,method_label,n_poses,n_checks,n_pass_all,n_pass_90pct,n_pass_50pct,pass_rate_all,pass_rate_90pct,pass_rate_50pct,mean_frac_pass
1g5m,boltz2,Boltz-2,490,20,465,487,490,0.9489795918367347,0.9938775510204082,1.0,0.9965889212827983
1g5m,dynamicbind,DynamicBind,287,20,0,268,287,0.0,0.9337979094076655,1.0,0.8979094076655054
1g5m,gnina,GNINA 1.3,287,20,154,286,287,0.5365853658536586,0.9965156794425087,1.0,0.9763315082130389
1g5m,qvina,QVina2,287,20,151,286,287,0.5261324041811847,0.9965156794425087,1.0,0.9759830761572893
2z5x,boltz2,Boltz-2,318,20,261,316,318,0.8207547169811321,0.9937106918238994,1.0,0.9904537286612748
2z5x,dynamicbind,DynamicBind,245,20,50,242,245,0.20408163265306123,0.9877551020408163,1.0,0.9385714285714287
2z5x,gnina,GNINA 1.3,246,20,2,14,244,0.008130081300813009,0.056910569105691054,0.991869918699187,0.5962253193960504
2z5x,qvina,QVina2,245,20,0,0,243,0.0,0.0,0.9918367346938776,0.5737609329446056
3eyg,boltz2,Boltz-2,2233,20,861,990,2233,0.38557993730407525,0.4433497536945813,1.0,0.9156803787345777
3eyg,dynamicbind,DynamicBind,2254,20,141,2236,2254,0.06255545696539486,0.9920141969831411,1.0,0.9418145519077198
3eyg,gnina,GNINA 1.3,2215,20,0,5,2199,0.0,0.002257336343115124,0.9927765237020316,0.5644340535311037
3eyg,qvina,QVina2,2221,20,0,2,2205,0.0,0.0009004952723998199,0.9927960378208014,0.5634945648678015
3jy9,boltz2,Boltz-2,2012,20,992,1158,2012,0.49304174950298213,0.5755467196819085,1.0,0.9339924737290657
3jy9,dynamicbind,DynamicBind,2026,20,527,2024,2026,0.2601184600197433,0.9990128331688055,1.0,0.9588598223099702
3jy9,gnina,GNINA 1.3,233,20,0,8,232,0.0,0.034334763948497854,0.9957081545064378,0.5922133660331066
3jy9,qvina,QVina2,1264,20,0,37,1250,0.0,0.029272151898734177,0.9889240506329114,0.5852283001808324
3lxk,boltz2,Boltz-2,756,20,267,310,756,0.3531746031746032,0.41005291005291006,1.0,0.9027683295540456
3lxk,dynamicbind,DynamicBind,785,20,103,784,785,0.13121019108280255,0.9987261146496815,1.0,0.9493630573248406
3lxk,gnina,GNINA 1.3,783,20,1,254,781,0.001277139208173691,0.3243933588761175,0.9974457215836526,0.7074803867907387
3lxk,qvina,QVina2,778,20,0,465,778,0.0,0.5976863753213367,1.0,0.8482647814910017
3mjg,boltz2,Boltz-2,274,20,172,247,274,0.6277372262773723,0.9014598540145985,1.0,0.9706725755995814
3mjg,dynamicbind,DynamicBind,275,20,105,274,275,0.38181818181818183,0.9963636363636363,1.0,0.965090909090909
3mjg,gnina,GNINA 1.3,268,20,3,108,268,0.011194029850746268,0.40298507462686567,1.0,0.8350746268656714
3mjg,qvina,QVina2,268,20,0,28,268,0.0,0.1044776119402985,1.0,0.7884328358208946
4ase,boltz2,Boltz-2,931,20,733,814,931,0.7873254564983888,0.874328678839957,1.0,0.9764078563756355
4ase,dynamicbind,DynamicBind,875,20,240,874,875,0.2742857142857143,0.9988571428571429,1.0,0.9584571428571427
4ase,gnina,GNINA 1.3,875,20,0,0,812,0.0,0.0,0.928,0.5619428571428633
4ase,qvina,QVina2,862,20,0,3,801,0.0,0.0034802784222737818,0.9292343387470998,0.5653795160755777
4f65,boltz2,Boltz-2,163,20,151,155,163,0.9263803680981595,0.950920245398773,1.0,0.9908851884312008
4f65,dynamicbind,DynamicBind,134,20,98,134,134,0.7313432835820896,1.0,1.0,0.9843283582089555
4f65,gnina,GNINA 1.3,133,20,0,0,61,0.0,0.0,0.45864661654135336,0.4160580021482273
4f65,qvina,QVina2,127,20,0,1,60,0.0,0.007874015748031496,0.47244094488188976,0.42317210348706363
4tz4,boltz2,Boltz-2,226,20,202,212,226,0.8938053097345132,0.9380530973451328,1.0,0.988305941845765
4tz4,dynamicbind,DynamicBind,127,20,15,126,127,0.11811023622047244,0.9921259842519685,1.0,0.9255905511811027
4tz4,gnina,GNINA 1.3,126,20,0,82,126,0.0,0.6507936507936508,1.0,0.8428571428571429
4tz4,qvina,QVina2,126,20,74,123,126,0.5873015873015873,0.9761904761904762,1.0,0.9706349206349207
4zau,boltz2,Boltz-2,235,20,140,185,235,0.5957446808510638,0.7872340425531915,1.0,0.9566869300911854
4zau,dynamicbind,DynamicBind,251,20,77,245,251,0.30677290836653387,0.9760956175298805,1.0,0.9567729083665337
4zau,gnina,GNINA 1.3,247,20,0,0,246,0.0,0.0,0.9959514170040485,0.5851648351648331
4zau,qvina,QVina2,247,20,0,0,246,0.0,0.0,0.9959514170040485,0.5851648351648334
5jkv,boltz2,Boltz-2,524,20,421,524,524,0.8034351145038168,1.0,1.0,0.9901717557251907
5jkv,dynamicbind,DynamicBind,547,20,5,541,547,0.009140767824497258,0.9890310786106032,1.0,0.9089579524680074
5jkv,gnina,GNINA 1.3,547,20,179,249,547,0.3272394881170018,0.45521023765996343,1.0,0.7968007312614259
5jkv,qvina,QVina2,547,20,151,324,547,0.2760511882998172,0.5923217550274223,1.0,0.8678244972577698
5mo4,boltz2,Boltz-2,1224,20,230,962,1224,0.18790849673202614,0.7859477124183006,1.0,0.9370623249299863
5mo4,dynamicbind,DynamicBind,693,20,14,687,693,0.020202020202020204,0.9913419913419913,1.0,0.9366522366522367
5mo4,gnina,GNINA 1.3,693,20,0,0,692,0.0,0.0,0.9985569985569985,0.593125128839421
5mo4,qvina,QVina2,693,20,0,0,692,0.0,0.0,0.9985569985569985,0.5931972789115709
6gqj,boltz2,Boltz-2,1132,20,906,1071,1132,0.8003533568904594,0.946113074204947,1.0,0.9844270570419023
6gqj,dynamicbind,DynamicBind,1073,20,131,1071,1073,0.12208760484622554,0.9981360671015843,1.0,0.9538210624417521
6gqj,gnina,GNINA 1.3,1293,20,0,3,1291,0.0,0.002320185614849188,0.9984532095901005,0.5850127057783723
6gqj,qvina,QVina2,1293,20,0,0,1290,0.0,0.0,0.9976798143851509,0.5874765219312855
6jok,boltz2,Boltz-2,550,20,468,514,550,0.850909090909091,0.9345454545454546,1.0,0.9858961038961035
6jok,dynamicbind,DynamicBind,250,20,91,249,250,0.364,0.996,1.0,0.9552
6jok,gnina,GNINA 1.3,250,20,11,18,195,0.044,0.072,0.78,0.5630285714285705
6jok,qvina,QVina2,242,20,3,8,180,0.012396694214876033,0.03305785123966942,0.743801652892562,0.5198347107438003
7awe,boltz2,Boltz-2,83,20,25,83,83,0.30120481927710846,1.0,1.0,0.9650602409638553
7awe,dynamicbind,DynamicBind,88,20,0,88,88,0.0,1.0,1.0,0.9142045454545454
7awe,gnina,GNINA 1.3,78,20,0,0,78,0.0,0.0,1.0,0.6929487179487178
7awe,qvina,QVina2,44,20,0,2,44,0.0,0.045454545454545456,1.0,0.7215909090909092
7kk3,boltz2,Boltz-2,1090,20,973,1090,1090,0.8926605504587156,1.0,1.0,0.9945412844036698
7kk3,dynamicbind,DynamicBind,1073,20,382,1071,1073,0.3560111835973905,0.9981360671015843,1.0,0.9633271202236721
7kk3,gnina,GNINA 1.3,653,20,0,59,653,0.0,0.0903522205206738,1.0,0.7525267993874425
7kk3,qvina,QVina2,953,20,0,112,953,0.0,0.11752360965372508,1.0,0.8107030430220356
